time,U (heating,y (Tin)
2022-05-25T11:27:57.187Z,42,27.5
2022-05-25T11:27:59.277Z,0,27.75
2022-05-25T11:28:02.427Z,43,28
2022-05-25T11:28:03.487Z,42,28.25
2022-05-25T11:28:05.597Z,85,27.75
2022-05-25T11:28:06.647Z,42,28.5
2022-05-25T11:28:08.757Z,0,28
2022-05-25T11:28:15.077Z,86,28.25
2022-05-25T11:28:16.297Z,85,28.5
2022-05-25T11:28:18.237Z,42,28.75
2022-05-25T11:28:21.397Z,85,28
2022-05-25T11:28:22.467Z,42,28.75
2022-05-25T11:28:23.527Z,85,28.5
2022-05-25T11:28:26.677Z,171,28.75
2022-05-25T11:28:27.754Z,170,29
2022-05-25T11:28:30.907Z,255,29.25
2022-05-25T11:28:36.187Z,212,28.75
2022-05-25T11:28:37.236Z,169,29.25
2022-05-25T11:28:38.288Z,213,29.5
2022-05-25T11:28:41.467Z,126,29.75
2022-05-25T11:28:42.507Z,127,29.5
2022-05-25T11:28:44.866Z,214,29.75
2022-05-25T11:28:45.687Z,169,30
2022-05-25T11:28:46.747Z,213,30.5
2022-05-25T11:28:50.137Z,169,30.25
2022-05-25T11:28:50.957Z,170,30.5
2022-05-25T11:28:52.137Z,213,30
2022-05-25T11:28:54.126Z,169,30.25
2022-05-25T11:28:55.227Z,127,30.5
2022-05-25T11:29:00.466Z,171,30.75
2022-05-25T11:29:01.526Z,170,30
2022-05-25T11:29:03.616Z,127,31
2022-05-25T11:29:07.855Z,171,30.75
2022-05-25T11:29:08.887Z,170,30.5
2022-05-25T11:29:10.996Z,84,31.25
2022-05-25T11:29:12.066Z,85,31
2022-05-25T11:29:14.176Z,42,31.25
2022-05-25T11:29:16.276Z,85,31
2022-05-25T11:29:18.397Z,42,30.75
2022-05-25T11:29:19.456Z,0,31
2022-05-25T11:29:27.98Z,43,30.75
2022-05-25T11:29:28.906Z,0,31.25
2022-05-25T11:29:30.026Z,43,31
2022-05-25T11:29:31.066Z,0,30.75
2022-05-25T11:29:54.187Z,43,31.25
2022-05-25T11:29:55.136Z,0,31.75
2022-05-25T11:30:58.192Z,43,31.5
2022-05-25T11:30:59.136Z,0,31.25
2022-05-25T11:34:42.586Z,43,31
2022-05-25T11:34:43.636Z,0,31.5
2022-05-25T11:34:50.986Z,43,30.75
2022-05-25T11:34:52.06Z,0,31.75
2022-05-25T11:34:57.276Z,86,32
2022-05-25T11:34:58.346Z,171,31.5
2022-05-25T11:34:59.406Z,84,32
2022-05-25T11:35:00.456Z,85,31.75
2022-05-25T11:35:01.506Z,0,32
2022-05-25T11:35:05.716Z,43,32.25
2022-05-25T11:35:06.764Z,0,31.5
2022-05-25T11:36:53.825Z,43,32
2022-05-25T11:36:54.746Z,0,31.75
2022-05-25T11:37:33.545Z,43,32
2022-05-25T11:37:34.596Z,42,32.25
2022-05-25T11:37:35.646Z,85,32
2022-05-25T11:37:36.716Z,42,32.5
2022-05-25T11:37:37.766Z,0,32.25
2022-05-25T11:37:43.003Z,43,32.5
2022-05-25T11:37:44.075Z,0,32.25
2022-05-25T11:37:50.335Z,129,32.5
2022-05-25T11:37:51.395Z,84,33
2022-05-25T11:37:52.456Z,42,32.5
2022-05-25T11:37:54.576Z,0,33.25
2022-05-25T11:37:56.906Z,43,33
2022-05-25T11:37:57.715Z,42,32.75
2022-05-25T11:37:58.766Z,0,33.25
2022-05-25T11:38:01.926Z,43,33.5
2022-05-25T11:38:02.976Z,85,33
2022-05-25T11:38:04.036Z,128,33.75
2022-05-25T11:38:05.086Z,171,33
2022-05-25T11:38:06.156Z,170,33.5
2022-05-25T11:38:07.365Z,127,32.75
2022-05-25T11:38:10.626Z,171,33.75
2022-05-25T11:38:11.445Z,170,33.5
2022-05-25T11:38:12.476Z,213,33.75
2022-05-25T11:38:13.546Z,255,33.25
2022-05-25T11:40:10.655Z,125,33.5
2022-05-25T11:40:11.715Z,0,33.25
